N,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
1,1.9953,1.0000,,,,,,,,,
2,3.1013,0.5339,5.8095,,,,,,,,
3,3.3487,0.7117,3.3487,1.0000,,,,,,,
4,3.4389,0.7483,4.3471,0.5920,5.8095,,,,,,
5,3.4817,0.7618,4.5381,0.7618,3.4817,1.0000,,,,,
6,3.5045,0.7685,4.6061,0.7929,4.4641,0.6033,5.8095,,,,
7,3.5182,0.7723,4.6386,0.8039,4.6386,0.7723,3.5182,1.0000,,,
8,3.5277,0.7745,4.6575,0.8089,4.6990,0.8018,4.4990,0.6073,5.8095,,
9,3.5340,0.7760,4.6692,0.8118,4.7272,0.8118,4.6692,0.7760,3.5340,1.0000,
10,3.5384,0.7771,4.6768,0.8136,4.7425,0.8164,4.7260,0.8051,4.5142,0.6091,5.8095
